filter_column,drop_column,test_col1,test_col2
73,drop_val_1_0,5593,text_val_A
78,drop_val_1_1,1252,text_val_B
52,drop_val_1_2,8254,text_val_C
89,drop_val_1_3,6534,text_val_C
77,drop_val_1_4,4564,text_val_A
17,drop_val_1_5,3593,text_val_C
90,drop_val_1_6,2747,text_val_A
80,drop_val_1_7,3922,text_val_B
74,drop_val_1_8,6932,text_val_C
97,drop_val_1_9,9392,text_val_C
51,drop_val_1_10,9950,text_val_B
10,drop_val_1_11,6461,text_val_C
33,drop_val_1_12,7644,text_val_A
24,drop_val_1_13,9952,text_val_B
42,drop_val_1_14,3206,text_val_C
59,drop_val_1_15,8384,text_val_B
42,drop_val_1_16,2155,text_val_B
31,drop_val_1_17,9290,text_val_C
66,drop_val_1_18,8217,text_val_A
80,drop_val_1_19,3699,text_val_C
