filter_column,drop_column,test_col1,test_col2
82,drop_val_0_0,9688,text_val_C
67,drop_val_0_1,9422,text_val_C
25,drop_val_0_2,8390,text_val_C
94,drop_val_0_3,9473,text_val_B
41,drop_val_0_4,2735,text_val_A
92,drop_val_0_5,8613,text_val_A
26,drop_val_0_6,2882,text_val_C
70,drop_val_0_7,8905,text_val_C
9,drop_val_0_8,1332,text_val_B
6,drop_val_0_9,9487,text_val_A
79,drop_val_0_10,8573,text_val_A
5,drop_val_0_11,7885,text_val_A
64,drop_val_0_12,8424,text_val_B
15,drop_val_0_13,1506,text_val_A
94,drop_val_0_14,8231,text_val_A
53,drop_val_0_15,5201,text_val_B
97,drop_val_0_16,1588,text_val_C
88,drop_val_0_17,6320,text_val_A
37,drop_val_0_18,6298,text_val_A
75,drop_val_0_19,3849,text_val_B
