filter_column,drop_column,test_col1,test_col2
93,drop_val_4_0,3743,text_val_B
87,drop_val_4_1,1384,text_val_A
56,drop_val_4_2,5249,text_val_B
98,drop_val_4_3,5893,text_val_C
13,drop_val_4_4,6469,text_val_B
58,drop_val_4_5,5886,text_val_C
81,drop_val_4_6,7401,text_val_C
99,drop_val_4_7,7425,text_val_B
52,drop_val_4_8,1009,text_val_B
57,drop_val_4_9,7854,text_val_C
29,drop_val_4_10,1855,text_val_C
92,drop_val_4_11,7710,text_val_A
57,drop_val_4_12,9288,text_val_C
71,drop_val_4_13,4010,text_val_C
93,drop_val_4_14,6919,text_val_B
18,drop_val_4_15,9242,text_val_B
2,drop_val_4_16,9498,text_val_C
19,drop_val_4_17,6592,text_val_A
42,drop_val_4_18,7366,text_val_A
57,drop_val_4_19,4563,text_val_C
