filter_column,drop_column,test_col1,test_col2
64,drop_val_2_0,4074,text_val_A
13,drop_val_2_1,5056,text_val_A
11,drop_val_2_2,1456,text_val_A
43,drop_val_2_3,4211,text_val_A
37,drop_val_2_4,7346,text_val_A
52,drop_val_2_5,1047,text_val_B
4,drop_val_2_6,9714,text_val_C
84,drop_val_2_7,9171,text_val_B
50,drop_val_2_8,6573,text_val_C
65,drop_val_2_9,3508,text_val_C
94,drop_val_2_10,8190,text_val_B
27,drop_val_2_11,7045,text_val_C
98,drop_val_2_12,4800,text_val_A
83,drop_val_2_13,8936,text_val_A
98,drop_val_2_14,6637,text_val_A
44,drop_val_2_15,6699,text_val_A
16,drop_val_2_16,8881,text_val_A
60,drop_val_2_17,9062,text_val_C
37,drop_val_2_18,9331,text_val_A
76,drop_val_2_19,7858,text_val_C
