id,value1,value2,category
50,411,77.74,C
51,395,87.8,A
52,376,14.22,B
53,454,11.52,C
54,904,58.07,A
55,443,30.66,A
56,361,46.36,B
57,945,53.9,D
58,302,65.67,D
59,755,38.35,B
60,460,9.42,C
61,810,12.43,A
62,375,67.46,C
63,510,80.53,B
64,955,53.81,D
65,286,33.2,D
66,796,53.42,C
67,875,16.69,A
68,735,61.57,D
69,688,59.04,B
70,714,68.8,A
71,570,50.71,A
72,450,83.95,C
73,127,97.82,B
74,325,44.27,D
75,818,13.01,B
76,289,70.02,A
77,312,4.46,C
78,955,93.58,D
79,553,71.04,B
80,383,67.88,A
81,984,32.86,D
82,386,71.8,D
83,864,83.43,A
84,119,10.17,B
85,843,43.92,B
86,575,74.96,C
87,438,89.95,B
88,717,26.23,C
89,129,79.69,B
90,503,98.57,C
91,883,43.62,C
92,950,72.11,D
93,451,18.72,D
94,427,53.12,D
95,344,41.44,A
96,467,82.6,A
97,283,7.19,C
98,729,54.18,C
99,647,81.73,B
