id,value1,value2,category
0,394,17.23,C
1,907,19.89,C
2,739,29.59,A
3,712,55.65,D
4,922,15.45,B
5,681,94.22,A
6,843,84.21,A
7,994,33.1,A
8,530,86.03,A
9,225,89.54,C
10,450,84.32,B
11,896,26.43,D
12,635,27.71,D
13,848,42.24,C
14,782,96.55,C
15,283,45.75,D
16,389,9.5,A
17,674,15.56,D
18,704,62.36,A
19,567,89.84,B
20,172,76.5,D
21,607,58.33,A
22,235,18.53,C
23,574,79.1,B
24,414,14.63,B
25,518,44.61,C
26,555,89.89,C
27,456,15.3,A
28,740,13.05,A
29,512,84.58,C
30,700,65.83,D
31,761,67.97,B
32,991,41.68,D
33,464,0.94,A
34,912,36.92,B
35,868,82.76,A
36,623,10.13,D
37,167,94.97,C
38,229,68.81,D
39,726,78.98,C
40,862,17.15,B
41,177,22.63,C
42,834,55.37,B
43,229,85.21,A
44,115,33.13,C
45,901,96.72,D
46,445,22.58,B
47,860,97.36,C
48,687,87.72,B
49,805,33.76,A
