id,value1,value2,category
150,780,93.87,B
151,499,86.4,D
152,243,62.0,C
153,533,12.84,A
154,207,85.46,A
155,336,13.62,D
156,713,14.37,D
157,980,62.11,A
158,595,40.22,C
159,499,77.21,B
160,587,11.07,B
161,436,91.46,C
162,533,81.15,B
163,388,69.51,A
164,747,30.37,A
165,994,96.87,D
166,840,68.54,C
167,807,24.4,C
168,455,44.96,B
169,930,33.87,A
170,835,88.39,D
171,545,62.74,C
172,475,67.92,D
173,991,67.75,D
174,316,98.46,D
175,482,81.19,C
176,821,64.27,A
177,160,65.75,A
178,285,44.33,C
179,364,93.82,D
180,186,46.15,B
181,770,6.35,C
182,210,12.09,C
183,466,89.21,A
184,545,84.57,C
185,141,2.55,B
186,458,69.82,C
187,871,92.64,A
188,214,2.49,B
189,354,79.79,C
190,607,15.66,C
191,933,52.96,A
192,373,81.63,B
193,816,18.24,A
194,896,42.43,D
195,590,17.99,A
196,475,43.3,B
197,201,53.69,C
198,627,90.89,D
199,543,52.78,D
