id,value1,value2,category
100,233,64.18,A
101,446,23.27,C
102,691,17.73,B
103,445,75.73,A
104,962,38.52,A
105,757,34.83,B
106,737,81.52,C
107,704,62.04,C
108,157,80.15,C
109,341,55.23,A
110,143,21.67,B
111,360,74.71,B
112,597,3.99,C
113,834,29.38,D
114,543,46.36,D
115,683,86.88,C
116,383,50.19,B
117,516,43.23,A
118,509,86.6,D
119,828,29.62,B
120,769,91.27,C
121,613,31.44,B
122,716,68.81,C
123,558,39.4,B
124,288,62.29,D
125,139,37.29,A
126,577,11.0,C
127,830,85.4,D
128,237,10.22,A
129,881,40.54,D
130,441,97.92,D
131,418,6.42,A
132,933,87.32,D
133,556,68.27,C
134,183,19.54,B
135,651,83.08,D
136,594,73.57,B
137,662,95.37,A
138,179,98.41,D
139,469,0.56,C
140,468,42.64,C
141,183,41.56,A
142,163,19.68,B
143,417,31.06,D
144,382,59.69,B
145,712,0.62,D
146,580,3.77,C
147,555,98.82,A
148,151,83.25,A
149,491,82.36,A
